Dt,Group 1 production,Group 1 installed capacity,Group 2 production,Group 2 installed capacity,Group 3 production,Group 3 installed capacity,Group 4 production,Group 4 installed capacity,Temperature,Load,Wind,Solar,Prices
01/01/2019 00:00,13.957,31.791,16.431,32.404,16.494,32.74,15.176,29.492,8,9186,692,0,69.49
01/01/2019 01:00,14.146,31.791,16.794,32.404,17.251,32.74,14.474,29.492,7.5,8701,748,0,66.58
01/01/2019 02:00,14.073,31.791,16.652,32.404,13.286,32.74,14.545,29.492,7,8298,824,0,65.07
01/01/2019 03:00,14.069,31.791,17.013,32.404,12.899,32.74,14.367,29.492,6.7,7971,898,0,52.17
01/01/2019 04:00,14.072,31.791,16.766,32.404,12.885,32.74,13.907,29.492,7,7711,989,0,47.66
01/01/2019 05:00,14.087,31.791,16.471,32.404,13.389,32.74,15.061,29.492,7,7618,1042,0,50.87
01/01/2019 06:00,14.101,31.791,16.625,32.404,17.66,32.74,13.349,29.492,7,7616,1055,0,52.88
01/01/2019 07:00,14.247,31.791,16.872,32.404,18.161,32.74,16.624,29.492,7,7548,1099,0,61.78
01/01/2019 08:00,16.198,31.791,17.083,32.404,17.996,32.74,16.625,29.492,7.2,7582,1140,0,50.08
01/01/2019 09:00,16.957,31.791,17.644,32.404,18.004,32.74,19.472,29.492,7.2,7756,1156,1,50.27
01/01/2019 10:00,16.62,31.791,17.505,32.404,18.029,32.74,20.053,29.492,7.4,8089,1154,24,66.36
01/01/2019 11:00,16.968,31.791,17.087,32.404,18.022,32.74,20.062,29.492,7.1,8402,1143,72,75.08
01/01/2019 12:00,17.049,31.791,17.103,32.404,18.208,32.74,20.112,29.492,7.5,8681,1172,113,90.66
01/01/2019 13:00,17.028,31.791,17.401,32.404,18.07,32.74,20.096,29.492,7.4,8769,1234,133,75.71
01/01/2019 14:00,15.973,31.791,18.219,32.404,17.368,32.74,20.038,29.492,7.8,8651,1255,137,68.3
01/01/2019 15:00,17.989,31.791,18.449,32.404,17.248,32.74,19.111,29.492,7.9,8638,1275,113,61.83
01/01/2019 16:00,18.384,31.791,17.846,32.404,17.032,32.74,19.122,29.492,8.3,8668,1343,55,72.12
01/01/2019 17:00,17.475,31.791,17.188,32.404,16.726,32.74,16.542,29.492,7.7,9070,1423,7,62.58
01/01/2019 18:00,15.48,31.791,16.974,32.404,13.852,32.74,17.862,29.492,7.2,9389,1500,0,56.94
01/01/2019 19:00,13.347,31.791,16.916,32.404,13.342,32.74,17.54,29.492,7,9318,1563,0,57.89
01/01/2019 20:00,13.279,31.791,17.229,32.404,13.386,32.74,18.506,29.492,6,9108,1600,0,51.3
01/01/2019 21:00,13.143,31.791,16.959,32.404,13.353,32.74,18.471,29.492,5.7,8956,1617,0,51.89
01/01/2019 22:00,14.369,31.791,16.4,32.404,13.305,32.74,14.497,29.492,5.5,9038,1614,0,60.88
01/01/2019 23:00,17.215,31.791,16.863,32.404,13.576,32.74,18.971,29.492,5.5,9342,1601,0,60.74
01/02/2019 00:00,17.282,31.791,17.169,32.404,14.687,32.74,18.713,29.492,5.1,8977,1595,0,65.96
01/02/2019 01:00,17.313,31.791,17.063,32.404,15.3,32.74,16.698,29.492,5.4,8975,1533,0,57.9
01/02/2019 02:00,17.238,31.791,17.239,32.404,15.182,32.74,16.635,29.492,4.9,8626,1534,0,56.48
01/02/2019 03:00,17.232,31.791,17.425,32.404,15.366,32.74,16.636,29.492,5,8483,1539,0,46.68
01/02/2019 04:00,17.223,31.791,17.008,32.404,13.737,32.74,16.622,29.492,4.2,8582,1549,0,50.8
01/02/2019 05:00,17.269,31.791,17.039,32.404,14.357,32.74,18.592,29.492,4.1,8845,1568,0,45.28
01/02/2019 06:00,17.427,31.791,17.594,32.404,15.374,32.74,20.116,29.492,3.7,9556,1584,0,55.3
01/02/2019 07:00,17.519,31.791,17.845,32.404,12.014,32.74,20.178,29.492,4.2,10491,1592,0,56.86
01/02/2019 08:00,17.151,31.791,18.077,32.404,15.3,32.74,20.209,29.492,4.6,11413,1590,0,55.99
01/02/2019 09:00,17.878,31.791,18.842,32.404,15.905,32.74,20.262,29.492,4.4,11696,1558,1,55.33
01/02/2019 10:00,17.803,31.791,18.775,32.404,13.273,32.74,20.282,29.492,5,11800,1498,71,53.47
01/02/2019 11:00,17.361,31.791,18.352,32.404,13.008,32.74,20.304,29.492,5,11832,1440,277,53.22
